"product_name","sales_per_quantity","order_date"
"#10- 4 1/8 x 9 1/2 Recycled Envelopes","8.74","2017-09-09"
"#10- 4 1/8 x 9 1/2 Recycled Envelopes","6.992","2017-09-29"
"#10- 4 1/8 x 9 1/2 Recycled Envelopes","8.74","2017-12-14"
"#10- 4 1/8 x 9 1/2 Security-Tint Envelopes","6.111999999999999","2017-01-14"
"#10- 4 1/8 x 9 1/2 Security-Tint Envelopes","7.64","2017-04-30"
"#10- 4 1/8 x 9 1/2 Security-Tint Envelopes","6.112","2017-09-03"
"#10- 4 1/8 x 9 1/2 Security-Tint Envelopes","7.64","2017-11-06"
"#10- 4 1/8 x 9 1/2 Security-Tint Envelopes","6.112","2017-11-12"
"#10-4 1/8 x 9 1/2 Premium Diagonal Seam Envelopes","15.74","2017-04-30"
"#10 Gummed Flap White Envelopes  100/Box","3.3040000000000003","2017-10-31"
"#10 Self-Seal White Envelopes","11.09","2017-09-11"
"#10 White Business Envelopes 4 1/8 x 9 1/2","15.67","2017-03-24"
"#10 White Business Envelopes 4 1/8 x 9 1/2","12.536","2017-06-22"
"#6 3/4 Gummed Flap White Envelopes","7.92","2017-10-22"
"#6 3/4 Gummed Flap White Envelopes","7.92","2017-10-27"
"1.7 Cubic Foot Compact Cube Office Refrigerators","208.16","2017-07-20"
"1.7 Cubic Foot Compact Cube Office Refrigerators","166.528","2017-11-06"
"12-1/2 Diameter Round Wall Clock","15.984","2017-01-19"
"12-1/2 Diameter Round Wall Clock","7.992","2017-06-09"
"12-1/2 Diameter Round Wall Clock","19.98","2017-09-24"
"12 Colored Short Pencils","2.6","2017-11-10"
"14-7/8 x 11 Blue Bar Computer Printout Paper","38.432","2017-02-03"
"14-7/8 x 11 Blue Bar Computer Printout Paper","38.432","2017-08-06"
"14-7/8 x 11 Blue Bar Computer Printout Paper","48.04","2017-12-25"
"2300 Heavy-Duty Transfer File Systems by Perma","24.98","2017-10-17"
"24-Hour Round Wall Clock","19.98","2017-05-15"
"24-Hour Round Wall Clock","19.98","2017-10-04"
"24 Capacity Maxi Data Binder Racks  Pearl","168.44","2017-06-10"
"24 Capacity Maxi Data Binder Racks  Pearl","210.55","2017-09-04"
"3-ring staple pack","1.5039999999999998","2017-12-02"
"3.6 Cubic Foot Counter Height Office Refrigerator","294.62","2017-08-07"
"3.6 Cubic Foot Counter Height Office Refrigerator","235.696","2017-09-14"
"3.6 Cubic Foot Counter Height Office Refrigerator","58.924","2017-12-02"
"36X48 HARDFLOOR CHAIRMAT","20.98","2017-07-08"
"36X48 HARDFLOOR CHAIRMAT","8.392","2017-08-17"
"36X48 HARDFLOOR CHAIRMAT","20.98","2017-10-06"
"3D Systems Cube Printer  2nd Generation  Magenta","1299.99","2017-10-05"
"3D Systems Cube Printer  2nd Generation  White","1039.992","2017-11-21"
"3M Hangers With Command Adhesive","2.96","2017-04-30"
"3M Hangers With Command Adhesive","2.59","2017-12-28"
"3M Office Air Cleaner","25.98","2017-07-31"
"3M Organizer Strips","4.32","2017-03-07"
"3M Organizer Strips","1.6199999999999999","2017-04-06"
"3M Organizer Strips","1.62","2017-09-09"
"3M Organizer Strips","5.3999999999999995","2017-09-10"
"3M Organizer Strips","4.32","2017-11-14"
"3M Polarizing Task Lamp with Clamp Arm  Light Gray","136.98","2017-04-08"
"3M Polarizing Task Lamp with Clamp Arm  Light Gray","136.98","2017-11-19"
"4009 Highlighters by Sanford","3.98","2017-06-24"
"4009 Highlighters by Sanford","3.1839999999999997","2017-07-03"
"4009 Highlighters by Sanford","3.9799999999999995","2017-10-30"
"50 Colored Long Pencils","8.128","2017-04-07"
"6 Cubicle Wall Clock  Black","8.09","2017-09-11"
"6 Cubicle Wall Clock  Black","3.236","2017-12-09"
"9-3/4 Diameter Round Wall Clock","13.79","2017-11-03"
"9-3/4 Diameter Round Wall Clock","13.790000000000001","2017-11-09"
"9-3/4 Diameter Round Wall Clock","13.79","2017-11-20"
"Aastra 57i VoIP phone","129.288","2017-02-26"
"Aastra 57i VoIP phone","161.61","2017-08-10"
"Acco 3-Hole Punch","4.38","2017-04-14"
"Acco 3-Hole Punch","4.38","2017-07-31"
"Acco 3-Hole Punch","4.38","2017-10-21"
"Acco 3-Hole Punch","3.504","2017-11-12"
"Acco 3-Hole Punch","3.504","2017-12-01"
"Acco 6 Outlet Guardian Premium Plus Surge Suppressor","3.664","2017-05-23"
"Acco 6 Outlet Guardian Premium Plus Surge Suppressor","18.32","2017-08-28"
"Acco 6 Outlet Guardian Premium Plus Surge Suppressor","3.664","2017-10-02"
"Acco 6 Outlet Guardian Premium Plus Surge Suppressor","3.664","2017-12-23"
"Acco 6 Outlet Guardian Premium Surge Suppressor","14.559999999999999","2017-03-03"
"Acco 6 Outlet Guardian Standard Surge Suppressor","12.09","2017-09-10"
"Acco 7-Outlet Masterpiece Power Center  Wihtout Fax/Phone Line Protection","24.316","2017-04-21"
"Acco 7-Outlet Masterpiece Power Center  Wihtout Fax/Phone Line Protection","121.58","2017-05-04"
"Acco 7-Outlet Masterpiece Power Center  Wihtout Fax/Phone Line Protection","121.58","2017-10-30"
"Acco 7-Outlet Masterpiece Power Center  Wihtout Fax/Phone Line Protection","97.264","2017-11-18"
"Acco Bankers Clasps  5 3/4-Long","2.88","2017-06-24"
"Acco Bankers Clasps  5 3/4-Long","2.8800000000000003","2017-12-14"
"Acco Clips to Go Binder Clips  24 Clips in Two Sizes","3.55","2017-09-11"
"Acco D-Ring Binder w/DublLock","4.276","2017-01-15"
"Acco D-Ring Binder w/DublLock","17.104","2017-06-20"
"Acco D-Ring Binder w/DublLock","4.276","2017-08-18"
"Acco Data Flex Cable Posts For Top & Bottom Load Binders  6 Capacity","2.086","2017-04-24"
"Acco Data Flex Cable Posts For Top & Bottom Load Binders  6 Capacity","3.129","2017-09-09"
"Acco Data Flex Cable Posts For Top & Bottom Load Binders  6 Capacity","8.344","2017-11-19"
"Acco Data Flex Cable Posts For Top & Bottom Load Binders  6 Capacity","8.344","2017-12-16"
"Acco Economy Flexible Poly Round Ring Binder","1.566","2017-12-26"
"Acco Expandable Hanging Binders","1.914","2017-07-18"
"Acco Flexible ACCOHIDE Square Ring Data Binder  Dark Blue  11 1/2 X 14 7/8","13.016","2017-05-11"
"Acco Flexible ACCOHIDE Square Ring Data Binder  Dark Blue  11 1/2 X 14 7/8","13.016","2017-08-21"
"Acco Flexible ACCOHIDE Square Ring Data Binder  Dark Blue  11 1/2 X 14 7/8","3.254","2017-10-23"
"Acco Four Pocket Poly Ring Binder with Label Holder  Smoke  1","5.96","2017-07-11"
"Acco Four Pocket Poly Ring Binder with Label Holder  Smoke  1","5.96","2017-12-24"
"Acco Glide Clips","3.9200000000000004","2017-12-29"
"Acco Hot Clips Clips to Go","3.29","2017-05-25"
"Acco Hot Clips Clips to Go","2.632","2017-09-11"
"Acco Perma 2700 Stacking Storage Drawers","23.792","2017-09-18"
"Acco Perma 2700 Stacking Storage Drawers","23.792","2017-10-21"
"Acco Perma 3000 Stacking Storage Drawers","16.784","2017-08-16"
"Acco Perma 3000 Stacking Storage Drawers","16.784","2017-09-04"
"Acco Perma 3000 Stacking Storage Drawers","15.51","2017-09-21"
"Acco Perma 3000 Stacking Storage Drawers","15.51","2017-09-24"
"Acco Perma 4000 Stacking Storage Drawers","16.24","2017-03-23"
